Freq.,IV1,fase
1.65958690743757e+000,-4.68484317152645e+001,-1.79871276620877e+002
1.67494287602645e+000,-4.68484313080923e+001,-1.79870085562172e+002
1.69044093164327e+000,-4.68484308933501e+001,-1.79868883482851e+002
1.70608238900313e+000,-4.68484304708974e+001,-1.79867670280944e+002
1.72186857498602e+000,-4.68484300405907e+001,-1.79866445853538e+002
1.73780082874938e+000,-4.68484296022841e+001,-1.79865210096768e+002
1.75388050184177e+000,-4.68484291558288e+001,-1.79863962905808e+002
1.77010895831743e+000,-4.68484287010733e+001,-1.79862704174863e+002
1.78648757485206e+000,-4.68484282378633e+001,-1.79861433797159e+002
1.80301774085958e+000,-4.68484277660417e+001,-1.79860151664932e+002
1.81970085860999e+000,-4.68484272854483e+001,-1.79858857669423e+002
1.83653834334836e+000,-4.68484267959200e+001,-1.79857551700867e+002
1.85353162341482e+000,-4.68484262972908e+001,-1.79856233648483e+002
1.87068214036581e+000,-4.68484257893915e+001,-1.79854903400464e+002
1.88799134909630e+000,-4.68484252720496e+001,-1.79853560843971e+002
1.90546071796326e+000,-4.68484247450897e+001,-1.79852205865118e+002
1.92309172891017e+000,-4.68484242083330e+001,-1.79850838348967e+002
1.94088587759279e+000,-4.68484236615973e+001,-1.79849458179517e+002
1.95884467350600e+000,-4.68484231046970e+001,-1.79848065239694e+002
1.97696964011187e+000,-4.68484225374433e+001,-1.79846659411339e+002
1.99526231496889e+000,-4.68484219596437e+001,-1.79845240575201e+002
2.01372424986240e+000,-4.68484213711020e+001,-1.79843808610926e+002
2.03235701093623e+000,-4.68484207716186e+001,-1.79842363397047e+002
2.05116217882558e+000,-4.68484201609901e+001,-1.79840904810971e+002
2.07014134879106e+000,-4.68484195390092e+001,-1.79839432728973e+002
2.08929613085405e+000,-4.68484189054649e+001,-1.79837947026183e+002
2.10862814993330e+000,-4.68484182601422e+001,-1.79836447576575e+002
2.12813904598273e+000,-4.68484176028222e+001,-1.79834934252957e+002
2.14783047413055e+000,-4.68484169332818e+001,-1.79833406926961e+002
2.16770410481971e+000,-4.68484162512939e+001,-1.79831865469032e+002
2.18776162394957e+000,-4.68484155566269e+001,-1.79830309748415e+002
2.20800473301892e+000,-4.68484148490452e+001,-1.79828739633145e+002
2.22843514927032e+000,-4.68484141283087e+001,-1.79827154990038e+002
2.24905460583580e+000,-4.68484133941729e+001,-1.79825555684677e+002
2.26986485188384e+000,-4.68484126463886e+001,-1.79823941581401e+002
2.29086765276779e+000,-4.68484118847020e+001,-1.79822312543293e+002
