Freq.,IV,
5.58277108433734e+003,-4.19505996761504e+001,-1.24680069031252e+002
5.62292771084336e+003,-4.15480646561077e+001,-1.22903518186961e+002
5.66308433734939e+003,-4.11585198650419e+001,-1.21292122914325e+002
5.70324096385541e+003,-4.07820042775879e+001,-1.19825997310518e+002
5.74339759036143e+003,-4.04183418011270e+001,-1.18487933710919e+002
5.78355421686746e+003,-4.00672134193864e+001,-1.17263055535806e+002
5.82371084337348e+003,-3.97282089510433e+001,-1.16138496959867e+002
5.86386746987951e+003,-3.94008638623614e+001,-1.15103117346565e+002
5.90402409638553e+003,-3.90846852065969e+001,-1.14147252017468e+002
5.94418072289155e+003,-3.87791696965141e+001,-1.13262497615945e+002
5.98433734939758e+003,-3.84838161092533e+001,-1.12441528798822e+002
6.02449397590360e+003,-3.81981336233555e+001,-1.11677942466949e+002
6.06465060240962e+003,-3.79216472477047e+001,-1.10966125759203e+002
6.10480722891565e+003,-3.76539011813839e+001,-1.10301144311797e+002
6.14496385542167e+003,-3.73944607105832e+001,-1.09678647671682e+002
6.18512048192770e+003,-3.71429130800118e+001,-1.09094789165057e+002
6.22527710843372e+003,-3.68988676541668e+001,-1.08546157916364e+002
6.26543373493974e+003,-3.66619555954372e+001,-1.08029721069860e+002
6.30559036144577e+003,-3.64318292220319e+001,-1.07542774577938e+002
6.34574698795179e+003,-3.62081611623595e+001,-1.07082901187957e+002
6.38590361445781e+003,-3.59906433888854e+001,-1.06647934485588e+002
6.42606024096384e+003,-3.57789861901277e+001,-1.06235928042463e+002
6.46621686746986e+003,-3.55729171217977e+001,-1.05845128874060e+002
6.50637349397589e+003,-3.53721799653043e+001,-1.05473954545300e+002
6.54653012048191e+003,-3.51765337126029e+001,-1.05120973370274e+002
6.58668674698793e+003,-3.49857515897088e+001,-1.04784887242973e+002
6.62684337349396e+003,-3.47996201264245e+001,-1.04464516710723e+002
6.66699999999998e+003,-3.46179382764295e+001,-1.04158787964186e+002
6.70715662650600e+003,-3.44405165894824e+001,-1.03866721469347e+002
6.74731325301203e+003,-3.42671764358193e+001,-1.03587422009813e+002
6.78746987951805e+003,-3.40977492816989e+001,-1.03320069943472e+002
6.82762650602407e+003,-3.39320760142910e+001,-1.03063913507373e+002
6.86778313253010e+003,-3.37700063136375e+001,-1.02818262029661e+002
6.90793975903612e+003,-3.36113980691399e+001,-1.02582479928257e+002
6.94809638554215e+003,-3.34561168379005e+001,-1.02355981393593e+002
6.98825301204817e+003,-3.33040353422114e+001,-1.02138225667444e+002
7.02840963855419e+003,-3.31550330035252e+001,-1.01928712842425e+002
7.06856626506022e+003,-3.30089955103256e+001,-1.01726980117245e+002
7.10872289156624e+003,-3.28658144174282e+001,-1.01532598451787e+002
7.14887951807226e+003,-3.27253867743755e+001,-1.01345169573669e+002
7.18903614457829e+003,-3.25876147807288e+001,-1.01164323294427e+002
7.22919277108431e+003,-3.24524054662034e+001,-1.00989715099013e+002
7.26934939759034e+003,-3.23196703937375e+001,-1.00821023977001e+002
7.30950602409636e+003,-3.21893253837217e+001,-1.00657950467975e+002
7.34966265060238e+003,-3.20612902577510e+001,-1.00500214897062e+002
7.38981927710841e+003,-3.19354886003856e+001,-1.00347555779570e+002
