Freq.,IR2),fase
3.89619277108434e+003,-4.12019777744667e+001,-1.59463089531067e+002
3.93634939759037e+003,-4.11812057188088e+001,-1.59616207293858e+002
3.97650602409639e+003,-4.11609362845141e+001,-1.59767546122546e+002
4.01666265060241e+003,-4.11411542584590e+001,-1.59917121758010e+002
4.05681927710844e+003,-4.11218449645405e+001,-1.60064950549127e+002
4.09697590361446e+003,-4.11029942427041e+001,-1.60211049380057e+002
4.13713253012049e+003,-4.10845884288315e+001,-1.60355435603194e+002
4.17728915662651e+003,-4.10666143354531e+001,-1.60498126977382e+002
4.21744578313253e+003,-4.10490592332527e+001,-1.60639141610996e+002
4.25760240963856e+003,-4.10319108333324e+001,-1.60778497909549e+002
4.29775903614458e+003,-4.10151572702070e+001,-1.60916214527474e+002
4.33791566265060e+003,-4.09987870854972e+001,-1.61052310323796e+002
4.37807228915663e+003,-4.09827892122944e+001,-1.61186804321387e+002
4.41822891566265e+003,-4.09671529601668e+001,-1.61319715669568e+002
4.45838554216868e+003,-4.09518680007835e+001,-1.61451063609788e+002
4.49854216867470e+003,-4.09369243541273e+001,-1.61580867444165e+002
4.53869879518072e+003,-4.09223123752739e+001,-1.61709146506687e+002
4.57885542168675e+003,-4.09080227417128e+001,-1.61835920136861e+002
4.61901204819277e+003,-4.08940464411870e+001,-1.61961207655642e+002
4.65916867469879e+003,-4.08803747600299e+001,-1.62085028343472e+002
4.69932530120482e+003,-4.08669992719783e+001,-1.62207401420266e+002
4.73948192771084e+003,-4.08539118274407e+001,-1.62328346027215e+002
4.77963855421687e+003,-4.08411045432023e+001,-1.62447881210255e+002
4.81979518072289e+003,-4.08285697925481e+001,-1.62566025905092e+002
4.85995180722891e+003,-4.08163001957857e+001,-1.62682798923662e+002
4.90010843373494e+003,-4.08042886111512e+001,-1.62798218941913e+002
4.94026506024096e+003,-4.07925281260822e+001,-1.62912304488823e+002
4.98042168674698e+003,-4.07810120488417e+001,-1.63025073936548e+002
5.02057831325301e+003,-4.07697339004778e+001,-1.63136545491624e+002
5.06073493975903e+003,-4.07586874071060e+001,-1.63246737187134e+002
